Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢),Scraped_Date,Year,Month,Day,DayOfWeek,Quarter,IsMonthEnd,IsMonthStart,Daily_Price_Range,Price_Change_Pct,Volatility,Log_Volume,Volume_Change,Log_Value,Avg_Trade_Size,Price_Momentum_3d,Volume_Momentum_3d,Price_Volume_Trend,Bid_Ask_Spread,Bid_Ask_Spread_Pct,Price_Lag_1d,Volume_Lag_1d,Value_Lag_1d,Volatility_Lag_1d,Price_Lag_3d,Volume_Lag_3d,Value_Lag_3d,Volatility_Lag_3d,Price_Lag_5d,Volume_Lag_5d,Value_Lag_5d,Volatility_Lag_5d,Price_Lag_10d,Volume_Lag_10d,Value_Lag_10d,Volatility_Lag_10d,Price_MA_3d,Volume_MA_3d,Price_MA_5d,Volume_MA_5d,Price_MA_10d,Volume_MA_10d,Price_Momentum_1d,Volume_Momentum_1d,Future_Price,Future_Return,Target,Target_Class,Share_Code_Encoded
2024-12-09,UNIL,17.0,8.11,17.0,17.0,17.0,17.0,0.0,0.0,17.0,178.0,802.5,2025-08-23 18:33:27,2024,12,9,0,4,0,0,0.0,0.0,0.0,5.187385805840755,0,6.688977185177567,4.508426966292135,0,0,3026.0,17.0,0.0,17.0,60.0,802.5,0.0,17.0,15.0,255.0,0.0,17.0,149.0,802.5,0.0,17.0,58.0,802.5,0.0,17.0,121.33333333333333,17.0,99.4,17.0,77.7,0.0,196.66666666666666,17.0,0.0,0,3,45
2025-06-02,RBGH,0.66,0.6,0.66,0.66,0.66,0.66,0.0,0.67,0.0,0.0,0.0,2025-08-23 18:33:27,2025,6,2,0,2,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,-0.67,-100.0,0.66,250.0,802.5,0.0,0.66,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.66,83.33333333333333,0.66,50.0,0.66,25.1,0.0,-100.0,0.66,0.0,0,3,35
2024-08-12,CMLT,0.11,0.1,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.0,0.0,2025-08-23 18:33:27,2024,8,12,0,3,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,-0.11,-100.0,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.11,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0,3,16
2024-10-03,CALPREF,0.29,0.29,0.29,0.29,0.29,0.29,0.0,0.29,0.0,0.0,0.0,2025-08-23 18:33:27,2024,10,3,3,4,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,-0.29,-100.0,0.29,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.29,0.0,0.29,0.0,0.29,0.0,0.0,0.0,0.29,0.0,0,3,14
2024-08-13,SOGEGH,1.57,1.54,1.55,1.55,1.55,1.55,0.0,0.0,1.55,100.0,155.0,2025-08-23 18:33:27,2024,8,13,1,3,0,0,0.0,0.0,0.0,4.61512051684126,0,5.049856007249537,1.55,0,0,155.0,1.55,0.0,1.55,0.0,0.0,0.0,1.55,0.0,0.0,0.0,1.55,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.55,43.333333333333336,1.55,76.0,1.55,70.0,0.0,0.0,1.55,0.0,0,3,41
2025-06-12,IIL,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27,2025,6,12,3,2,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0,3,29
2025-06-11,ETI,0.9,0.31,0.85,0.85,0.85,0.85,0.0,0.0,0.0,250.0,802.5,2025-08-23 18:33:27,2025,6,11,2,2,0,0,0.0,0.0,0.0,5.5254529391317835,0,6.688977185177567,3.21,0,0,212.5,0.0,0.0,0.85,250.0,802.5,0.0,0.85,250.0,802.5,3.658536585365857,0.9,126.0,112.89,0.0,0.9,250.0,802.5,0.0,0.85,166.66666666666666,0.85,200.0,0.8709999999999999,200.2,0.0,0.0,0.84,-1.176470588235295,0,3,22
2025-02-19,**ALW**,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27,2025,2,19,2,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0,3,0
2025-06-02,HORDS,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,2025-08-23 18:33:27,2025,6,2,0,2,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0,3,28
2025-05-05,BOPP,29.75,25.26,29.75,29.75,29.75,29.75,0.0,30.0,0.0,100.0,802.5,2025-08-23 18:33:27,2025,5,5,0,2,0,0,0.0,0.0,0.0,4.61512051684126,0,6.688977185177567,8.025,0,0,2975.0,-30.0,-100.0,29.75,0.0,0.0,0.0,29.75,0.0,0.0,0.0,29.75,0.0,0.0,0.0,27.05,0.0,0.0,0.0,29.75,34.333333333333336,29.75,20.6,29.48,35.3,0.0,0.0,29.75,0.0,0,3,11
